,Provider Number,Hospital Name,Address 1,lat,lng,City,State,ZIP Code,County,Phone Number,Hospital Type,Hospital Ownership,Emergency Services
31,010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,34.0034,-86.00412,GADSDEN,AL,35901,ETOWAH,2565435200,Acute Care Hospitals,Proprietary,Yes
32,010047,GEORGIANA HOSPITAL,515 MIRANDA ST,31.63636,-86.74274,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,Voluntary non-profit - Private,Yes
33,010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,31.31847,-85.8551,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes
34,010050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,33.93242,-86.49273,ONEONTA,AL,35121,BLOUNT,2052743000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
35,010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,32.84232,-87.89001,EUTAW,AL,35462,GREENE,2053723388,Acute Care Hospitals,Government - Local,Yes
36,010052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,32.81918,-85.74184,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,Acute Care Hospitals,Proprietary,Yes
37,010054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,34.57674,-87.01602,DECATUR,AL,35601,MORGAN,2563502211,Acute Care Hospitals,Proprietary,Yes
38,010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,31.2381,-85.45754,DOTHAN,AL,36305,HOUSTON,3347935000,Acute Care Hospitals,Proprietary,Yes
39,010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,33.50883,-86.78945,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,Acute Care Hospitals,Voluntary non-profit - Other,Yes
40,010058,BIBB MEDICAL CENTER,208 PIERSON AVE,32.95133,-87.1476,CENTREVILLE,AL,35042,BIBB,2059264881,Acute Care Hospitals,Government - Hospital District or Authority,Yes
41,010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,34.48292,-87.28604,MOULTON,AL,35650,LAWRENCE,2569742200,Acute Care Hospitals,Government - Hospital District or Authority,Yes
42,010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,34.66226,-86.04671,SCOTTSBORO,AL,35768,JACKSON,2562594444,Acute Care Hospitals,Government - Hospital District or Authority,Yes
43,010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,31.0489,-85.8909,GENEVA,AL,36340,GENEVA,3346843655,Acute Care Hospitals,Government - Hospital District or Authority,Yes
44,010065,RUSSELL HOSPITAL,3316 HIGHWAY 280,32.93136,-85.96878,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100,Acute Care Hospitals,Voluntary non-profit - Private,Yes
45,010066,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,30.99983,-86.31334,FLORALA,AL,36442,COVINGTON,3348583287,Acute Care Hospitals,Proprietary,Yes
46,010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,31.88845,-85.15622,EUFAULA,AL,36027,BARBOUR,3346887271,Acute Care Hospitals,Government - Hospital District or Authority,Yes
47,010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,33.27668,-85.82347,ASHLAND,AL,36251,CLAY,2563542131,Acute Care Hospitals,Government - Hospital District or Authority,Yes
48,010078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,33.6571,-85.82343,ANNISTON,AL,36207,CALHOUN,2562355121,Acute Care Hospitals,Government - Local,Yes
49,010079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,34.80371,-86.97834,ATHENS,AL,35611,LIMESTONE,2562339292,Acute Care Hospitals,Government - Hospital District or Authority,Yes
50,010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,30.42591,-87.68394,FOLEY,AL,36535,BALDWIN,2519493400,Acute Care Hospitals,Proprietary,Yes
51,010085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,34.59091,-86.97205,DECATUR,AL,35609,MORGAN,2563412000,Acute Care Hospitals,Government - Hospital District or Authority,Yes
52,010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,33.92992,-87.82477,WINFIELD,AL,35594,MARION,2054877736,Acute Care Hospitals,Proprietary,Yes
53,010087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,30.70809,-88.10451,MOBILE,AL,36617,MOBILE,2514717110,Acute Care Hospitals,Government - State,Yes
54,010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,33.84102,-87.23656,JASPER,AL,35502,WALKER,2053874000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
55,010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,30.67989,-88.20012,MOBILE,AL,36608,MOBILE,2516331000,Acute Care Hospitals,Voluntary non-profit - Church,Yes
56,010091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,31.72261,-87.77233,GROVE HILL,AL,36451,CLARKE,2512753191,Acute Care Hospitals,Government - Local,Yes
57,010092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,33.2057,-87.52686,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,Acute Care Hospitals,Government - Hospital District or Authority,Yes
58,010095,HALE COUNTY HOSPITAL,508 GREEN STREET,32.69472,-87.58692,GREENSBORO,AL,36744,HALE,3346243024,Acute Care Hospitals,Voluntary non-profit - Other,Yes
59,010097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,32.55226,-86.18707,WETUMPKA,AL,36092,ELMORE,3345674311,Acute Care Hospitals,Government - State,Yes
60,010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,31.12708,-87.07253,BREWTON,AL,36426,ESCAMBIA,2518678061,Acute Care Hospitals,Government - Hospital District or Authority,Yes
61,010100,THOMAS HOSPITAL,750 MORPHY AVENUE,30.51939,-87.88909,FAIRHOPE,AL,36532,BALDWIN,2519282375,Acute Care Hospitals,Government - Hospital District or Authority,Yes
62,010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,33.43978,-86.09088,TALLADEGA,AL,35161,TALLADEGA,2567614542,Acute Care Hospitals,Voluntary non-profit - Private,Yes
63,010102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,31.99804,-87.29945,CAMDEN,AL,36726,WILCOX,3346824131,Acute Care Hospitals,Government - Hospital District or Authority,Yes
64,010103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,33.49907,-86.84611,BIRMINGHAM,AL,35211,JEFFERSON,2057833800,Acute Care Hospitals,Voluntary non-profit - Church,Yes
65,010104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,33.51527,-86.74675,BIRMINGHAM,AL,35213,JEFFERSON,2055921000,Acute Care Hospitals,Proprietary,Yes
66,010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,32.4642,-86.45175,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Acute Care Hospitals,Government - Hospital District or Authority,Yes
67,010109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON,33.27477,-88.08968,CARROLLTON,AL,35447,PICKENS,2053678111,Acute Care Hospitals,Government - Hospital District or Authority,Yes
68,010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,32.14619,-85.71703,UNION SPRINGS,AL,36089,BULLOCK,3347382140,Acute Care Hospitals,Proprietary,Yes
69,010112,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,32.50423,-87.83669,DEMOPOLIS,AL,36732,MARENGO,3342894000,Acute Care Hospitals,Government - Hospital District or Authority,Yes
70,010113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,30.69602,-88.0801,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes
71,010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,33.37264,-86.99114,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes
72,010118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,32.42928,-87.05545,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes
73,010120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,31.49835,-87.31927,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes
74,010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,34.24104,-87.59097,HALEYVILLE,AL,35565,WINSTON,2054857117,Acute Care Hospitals,Voluntary non-profit - Church,Yes
75,010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,31.78126,-85.94505,TROY,AL,36081,PIKE,3346705000,Acute Care Hospitals,Government - Federal,Yes
76,010128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,31.53148,-87.89526,JACKSON,AL,36545,CLARKE,2512469021,Acute Care Hospitals,Proprietary,Yes
77,010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,30.9024,-87.7833,BAY MINETTE,AL,36507,BALDWIN,2519375521,Acute Care Hospitals,Voluntary non-profit - Private,Yes
78,010130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,33.60429,-86.30155,PELL CITY,AL,35125,SAINT CLAIR,2053383301,Acute Care Hospitals,Voluntary non-profit - Private,Yes
79,010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,34.69426,-86.57285,HUNTSVILLE,AL,35801,MADISON,2568823100,Acute Care Hospitals,Proprietary,Yes
80,010137,COOPER GREEN MERCY HOSPITAL,1515 6TH AVENUE SOUTH,33.50368,-86.80711,BIRMINGHAM,AL,35233,JEFFERSON,2059303200,Acute Care Hospitals,Government - Local,Yes
81,010138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,32.49163,-88.29597,YORK,AL,36925,SUMTER,2053925263,Acute Care Hospitals,Voluntary non-profit - Other,Yes
82,010139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,33.46291,-86.77685,BIRMINGHAM,AL,35209,JEFFERSON,2058771000,Acute Care Hospitals,Proprietary,Yes
83,010144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,30.68463,-88.13103,MOBILE,AL,36608,MOBILE,2513449630,Acute Care Hospitals,Proprietary,Yes
84,010145,NORTHPORT MEDICAL CENTER,2700 HOSPITAL DRIVE,33.23329,-87.5712,NORTHPORT,AL,35476,TUSCALOOSA,2053334500,Acute Care Hospitals,Government-Hospital District or Authority,Yes
85,010146,JACKSONVILLE MEDICAL CENTER,1701 SOUTH PELHAM ROAD,33.78562,-85.76122,JACKSONVILLE,AL,36265,CALHOUN,2567824538,Acute Care Hospitals,Proprietary,Yes
86,010148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,31.431,-86.94129,EVERGREEN,AL,36401,CONECUH,2515782480,Acute Care Hospitals,Proprietary,Yes
87,010149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,32.37651,-86.17191,MONTGOMERY,AL,36117,MONTGOMERY,3342448330,Acute Care Hospitals,Government - Hospital District or Authority,Yes
88,01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,33.50511,-86.8012,BIRMINGHAM                    ,AL,35233,JEFFERSON,2059334515,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
89,010150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,31.82945,-86.64586,GREENVILLE,AL,36037,BUTLER,3343822200,Acute Care Hospitals,Proprietary,Yes
90,010152,INFIRMARY WEST,5600 GIRBY RD,30.61832,-88.17136,MOBILE,AL,36693,MOBILE,2516605236,Acute Care Hospitals,Government - State,Yes
91,010157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,34.74685,-87.67618,MUSCLE SHOALS,AL,35661,COLBERT,2563861601,Acute Care Hospitals,Government - Hospital District or Authority,Yes
92,010158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,34.51116,-87.71771,RUSSELLVILLE,AL,35653,FRANKLIN,2563321611,Acute Care Hospitals,Proprietary,Yes
93,010164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,33.16425,-86.25455,SYLACAUGA,AL,35150,TALLADEGA,2562495000,Acute Care Hospitals,Voluntary non-profit - Other,Yes
94,010167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,33.49526,-86.80652,BIRMINGHAM,AL,35205,JEFFERSON,2059307000,Acute Care Hospitals,Government-Hospital District or Authority,Yes
95,010168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,32.50902,-85.00582,PHENIX CITY,AL,36867,RUSSELL,3347323000,Acute Care Hospitals,Government - State,Yes
96,010169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,31.01748,-87.4785,ATMORE,AL,36502,ESCAMBIA,2513682500,Acute Care Hospitals,Government - Hospital District or Authority,Yes
97,01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,32.37949,-86.24654,MONTGOMERY                    ,AL,36109,MONTGOMERY,3342604100,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
98,01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,33.1914,-87.48585,TUSCALOOSA                    ,AL,35404,TUSCALOOSA,2055542000,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
99,011300,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,31.46022,-88.23512,CHATOM,AL,36518,WASHINGTON,2518472223,Critical Access Hospitals,Voluntary non-profit - Other,Yes
100,011302,RED BAY HOSPITAL,211 HOSPITAL ROAD,34.45746,-88.14705,RED BAY,AL,35582,FRANKLIN,2563569532,Critical Access Hospitals,Government - Hospital District or Authority,Yes
101,013301,UNIV OF S AL CHILDREN'S & WOMEN'S HOS,1700 CENTER STREET,30.6975,-88.07781,MOBILE,AL,36604,MOBILE,2514151000,Childrens,Government - State,Yes
102,020001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,61.18385,-149.98801,ANCHORAGE,AK,99519,ANCHORAGE,9072613675,Acute Care Hospitals,Voluntary non-profit - Private,Yes
103,020006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,61.56237,-149.25811,PALMER,AK,99645,MATANUSKA SUSITNA,9077468600,Acute Care Hospitals,Voluntary non-profit - Private,Yes
104,020008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,58.32869,-134.46427,JUNEAU,AK,99801,JUNEAU,9077968900,Acute Care Hospitals,Proprietary,Yes
105,020012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,64.83129,-147.73826,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,9074528181,Acute Care Hospitals,Voluntary non-profit - Other,Yes
106,020017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,61.21036,-149.82826,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,Acute Care Hospitals,Proprietary,Yes
107,020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,60.79434,-161.76092,BETHEL,AK,99559,BETHEL,9075436300,Acute Care Hospitals,Government - Federal,Yes
108,020024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,60.49371,-151.07785,SOLDOTNA,AK,99669,KENAI PENINSULA,9072624404,Acute Care Hospitals,Voluntary non-profit - Other,Yes
109,020026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,61.18191,-149.8002,ANCHORAGE,AK,99508,ANCHORAGE,9075632662,Acute Care Hospitals,Government - Federal,Yes
110,020027,MT EDGECUMBE HOSPITAL,222 TONGASS DR,57.05187,-135.35484,SITKA,AK,99835,SITKA,9079662411,Acute Care Hospitals,Voluntary non-profit - Private,Yes
111,021301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,61.09674,-146.51893,VALDEZ,AK,99686,VALDEZ CORDOVA,9078352249,Critical Access Hospitals,Government - Local,Yes
112,021302,PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365",60.10537,-149.44548,SEWARD,AK,99664,KENAI PENINSULA,9072245205,Critical Access Hospitals,Government - Local,Yes
113,021303,SITKA COMMUNITY HOSPITAL,209 MOLLER DRIVE,57.05861,-135.34521,SITKA,AK,99835,SITKA,9077473241,Critical Access Hospitals,Government - Local,Yes
114,021304,PETERSBURG MEDICAL CENTER, PO BOX 589,56.80782,-132.96992,PETERSBURG,AK,99833,,9077724291,Critical Access Hospitals,Voluntary non-profit - Other,Yes
115,021305,WRANGELL MEDICAL CENTER,310 BENNETT STREET PO BOX 1081,56.47276,-132.37556,WRANGELL,AK,99929,,9078747000,Critical Access Hospitals,Government - Local,Yes
116,021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,57.80088,-152.37399,KODIAK,AK,99615,KODIAK ISLAND,9074869592,Critical Access Hospitals,Voluntary non-profit - Private,Yes
117,021307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,60.54067,-145.75549,CORDOVA,AK,99574,VALDEZ CORDOVA,9074248000,Critical Access Hospitals,Government - Local,Yes
118,021308,NORTON SOUND REGIONAL HOSPITAL,"306 WEST 5TH AVENUE, P O BOX 966",64.49776,-165.38672,NOME,AK,99762,NOME,9074433311,Critical Access Hospitals,Voluntary non-profit - Private,Yes
119,021311,PEACEHEALTH KETCHIKAN MEDICAL             CENTER,3100 TONGASS AVENUE,55.3542,-131.68783,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,9072255171,Critical Access Hospitals,Voluntary non-profit - Church,Yes
120,021313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,59.65208,-151.55017,HOMER,AK,99603,KENAI PENINSULA,9072358101,Critical Access Hospitals,Government - Local,Yes
121,030001,MARYVALE HOSPITAL,5102 WEST CAMPBELL AVENUE,33.50268,-112.17099,PHOENIX,AZ,85031,MARICOPA,6238485000,Acute Care Hospitals,Proprietary,Yes
122,030002,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,33.46463,-112.05999,PHOENIX,AZ,85006,MARICOPA,6022394200,Acute Care Hospitals,Voluntary non-profit - Other,Yes
123,030006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,32.25215,-110.8797,TUCSON,AZ,85712,PIMA,5203275461,Acute Care Hospitals,Voluntary non-profit - Private,Yes
124,030007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,34.73516,-112.03,COTTONWOOD,AZ,86326,YAVAPAI,9286396000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
125,030010,CARONDELET ST  MARYS HOSPITAL,1601 WEST ST MARY'S ROAD,32.22892,-111.00017,TUCSON,AZ,85745,PIMA,5208723000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
126,030011,CARONDELET ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,32.22596,-110.85761,TUCSON,AZ,85711,PIMA,5208733000,Acute Care Hospitals,Voluntary non-profit - Church,Yes
127,030012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,34.55902,-112.48195,PRESCOTT,AZ,86301,YAVAPAI,9284452700,Acute Care Hospitals,Voluntary non-profit - Private,Yes
128,030013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,32.68196,-114.63545,YUMA,AZ,85364,YUMA,9283367275,Acute Care Hospitals,Voluntary non-profit - Private,Yes
129,030014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,33.56916,-112.07126,PHOENIX,AZ,85020,MARICOPA,6028706060,Acute Care Hospitals,Proprietary,Yes
130,030016,CASA GRANDE REGIONAL MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,32.88153,-111.70917,CASA GRANDE,AZ,85222,PINAL,5203816453,Acute Care Hospitals,Voluntary non-profit - Other,Yes
131,030022,MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET,33.45854,-112.02587,PHOENIX,AZ,85008,MARICOPA,6023445011,Acute Care Hospitals,Government - Local,Yes
132,030023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,35.20863,-111.64521,FLAGSTAFF,AZ,86001,COCONINO,9287732009,Acute Care Hospitals,Voluntary non-profit - Private,Yes
133,030024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,33.48178,-112.08003,PHOENIX,AZ,85013,MARICOPA,6024063000,Acute Care Hospitals,Voluntary non-profit - Church,Yes
